Cshunt,Ls2,W,Cs,Lp,DCPowerConsumption,S11,S22,PowerGain,DrainEfficiency,PAE,PSAT
1e-13,1.5e-10,1.7e-05,5.2e-13,3e-10,0.0264,-10.0,-6.425,9.435,45.5,31.07,9.975
1e-13,1.5e-10,1.7e-05,5.4e-13,2e-10,0.0264,-7.26,-9.272,10.44,45.6,33.72,10.01
1e-13,1.5e-10,1.7e-05,5.4e-13,1e-10,0.0264,-3.656,-2.617,9.045,21.06,14.39,8.044
1e-13,1.5e-10,1.7e-05,5.4e-13,1.2e-10,0.0264,-4.068,-4.289,10.18,28.66,21.11,8.961
1e-13,1.5e-10,1.7e-05,5.4e-13,1.4e-10,0.0264,-4.739,-6.246,10.65,35.15,26.71,9.471
1e-13,1.5e-10,1.7e-05,5.4e-13,1.6e-10,0.0264,-5.563,-8.051,10.74,40.12,30.65,9.761
1e-13,1.5e-10,1.7e-05,5.4e-13,1.8e-10,0.0264,-6.431,-9.13,10.63,43.53,32.88,9.924
1e-13,1.5e-10,1.7e-05,5.4e-13,2.2e-10,0.0264,-8.007,-8.815,10.22,46.62,33.63,10.05
1e-13,1.5e-10,1.7e-05,5.4e-13,2.4e-10,0.0264,-8.651,-8.163,10.01,46.91,33.04,10.05
1e-13,1.5e-10,1.7e-05,5.4e-13,2.6e-10,0.0264,-9.192,-7.522,9.807,46.71,32.31,10.03
1e-13,1.5e-10,1.7e-05,5.4e-13,2.8e-10,0.0264,-9.636,-6.956,9.621,46.22,31.76,10.01
1e-13,1.5e-10,1.7e-05,5.4e-13,3e-10,0.0264,-9.996,-6.476,9.451,45.56,31.1,9.972
1e-13,1.5e-10,1.7e-05,5.6e-13,2e-10,0.0264,-7.231,-9.331,10.45,45.55,33.71,10.0
1e-13,1.5e-10,1.7e-05,5.6e-13,1e-10,0.0264,-3.646,-2.599,9.031,20.94,14.29,8.024
1e-13,1.5e-10,1.7e-05,5.6e-13,1.2e-10,0.0264,-4.051,-4.264,10.18,28.52,21.0,8.944
1e-13,1.5e-10,1.7e-05,5.6e-13,1.4e-10,0.0264,-4.715,-6.222,10.66,35.02,26.61,9.457
1e-13,1.5e-10,1.7e-05,5.6e-13,1.6e-10,0.0264,-5.535,-8.046,10.75,40.01,30.58,9.75
1e-13,1.5e-10,1.7e-05,5.6e-13,1.8e-10,0.0264,-6.401,-9.161,10.64,43.45,32.84,9.915
1e-13,1.5e-10,1.7e-05,5.6e-13,2.2e-10,0.0264,-7.981,-8.883,10.24,46.61,33.65,10.04
1e-13,1.5e-10,1.7e-05,5.6e-13,2.4e-10,0.0264,-8.629,-8.229,10.02,46.93,33.07,10.04
1e-13,1.5e-10,1.7e-05,5.6e-13,2.6e-10,0.0264,-9.175,-7.581,9.822,46.75,32.32,10.03
1e-13,1.5e-10,1.7e-05,5.6e-13,2.8e-10,0.0264,-9.624,-7.009,9.636,46.27,31.78,10.0
1e-13,1.5e-10,1.7e-05,5.6e-13,3e-10,0.0264,-9.989,-6.523,9.465,45.62,31.13,9.969
1e-13,1.5e-10,1.7e-05,5.8e-13,2e-10,0.0264,-7.205,-9.386,10.47,45.51,33.71,9.994
1e-13,1.5e-10,1.7e-05,5.8e-13,1e-10,0.0264,-3.636,-2.583,9.018,20.83,14.2,8.006
1e-13,1.5e-10,1.7e-05,5.8e-13,1.2e-10,0.0264,-4.035,-4.241,10.17,28.4,20.9,8.929
1e-13,1.5e-10,1.7e-05,5.8e-13,1.4e-10,0.0264,-4.693,-6.199,10.66,34.9,26.51,9.445
1e-13,1.5e-10,1.7e-05,5.8e-13,1.6e-10,0.0264,-5.509,-8.042,10.76,39.91,30.51,9.739
1e-13,1.5e-10,1.7e-05,5.8e-13,1.8e-10,0.0264,-6.373,-9.189,10.65,43.38,32.81,9.906
1e-13,1.5e-10,1.7e-05,5.8e-13,2.2e-10,0.0264,-7.957,-8.947,10.25,46.6,33.66,10.03
1e-13,1.5e-10,1.7e-05,5.8e-13,2.4e-10,0.0264,-8.609,-8.291,10.04,46.94,33.09,10.04
1e-13,1.5e-10,1.7e-05,5.8e-13,2.6e-10,0.0264,-9.159,-7.638,9.836,46.78,32.33,10.03
1e-13,1.5e-10,1.7e-05,5.8e-13,2.8e-10,0.0264,-9.613,-7.059,9.649,46.31,31.8,10.0
1e-13,1.5e-10,1.7e-05,5.8e-13,3e-10,0.0264,-9.983,-6.567,9.478,45.67,31.16,9.966
