C1,W,Lg,Ls,VGS,Bandwidth,DCPowerConsumption,S11,NoiseFigure,PowerGain
2e-13,3.5e-06,5.78e-09,1.25e-10,0.7667,4252000000,0.001432,-13.46,1.79,9.191
2e-13,3.5e-06,5.78e-09,1.5e-10,0.9,4851000000,0.002381,-11.57,1.794,8.48
2e-13,3.5e-06,5.78e-09,1.5e-10,0.5,2687000000,0.0001058,-14.27,1.891,3.066
2e-13,3.5e-06,5.78e-09,1.5e-10,0.6333,4119000000,0.0005886,-13.29,1.788,7.572
2e-13,3.5e-06,5.78e-09,1.5e-10,0.7667,4684000000,0.001432,-11.35,1.791,8.389
2e-13,3.5e-06,5.78e-09,1.75e-10,0.9,5330000000,0.002381,-9.716,1.793,7.718
2e-13,3.5e-06,5.78e-09,1.75e-10,0.5,2812000000,0.0001058,-16.62,1.888,2.709
2e-13,3.5e-06,5.78e-09,1.75e-10,0.6333,4448000000,0.0005886,-11.8,1.787,6.921
2e-13,3.5e-06,5.78e-09,1.75e-10,0.7667,5138000000,0.001432,-9.736,1.787,7.649
2e-13,3.5e-06,5.78e-09,2e-10,0.9,5834000000,0.002381,-8.405,1.792,7.016
2e-13,3.5e-06,5.78e-09,2e-10,0.5,2942000000,0.0001058,-19.13,1.886,2.362
2e-13,3.5e-06,5.78e-09,2e-10,0.6333,4792000000,0.0005886,-10.45,1.782,6.309
2e-13,3.5e-06,5.78e-09,2e-10,0.7667,5593000000,0.001432,-8.505,1.783,6.963
2e-13,3.5e-06,6e-09,1e-10,0.9,3771000000,0.002381,-16.22,1.799,10.41
2e-13,3.5e-06,6e-09,1e-10,0.5,2402000000,0.0001058,-9.483,1.901,3.902
2e-13,3.5e-06,6e-09,1e-10,0.6333,3412000000,0.0005886,-18.1,1.771,9.121
2e-13,3.5e-06,6e-09,1e-10,0.7667,3838000000,0.001432,-15.86,1.771,10.07
2e-13,3.5e-06,6e-09,1.25e-10,0.9,4190000000,0.002381,-13.55,1.802,9.517
2e-13,3.5e-06,6e-09,1.25e-10,0.5,2497000000,0.0001058,-11.27,1.895,3.555
2e-13,3.5e-06,6e-09,1.25e-10,0.6333,3752000000,0.0005886,-16.58,1.77,8.331
2e-13,3.5e-06,6e-09,1.25e-10,0.7667,4246000000,0.001432,-13.28,1.771,9.225
2e-13,3.5e-06,6e-09,1.5e-10,0.9,4625000000,0.002381,-11.29,1.8,8.702
2e-13,3.5e-06,6e-09,1.5e-10,0.5,2596000000,0.0001058,-13.34,1.889,3.214
2e-13,3.5e-06,6e-09,1.5e-10,0.6333,4107000000,0.0005886,-14.04,1.77,7.606
2e-13,3.5e-06,6e-09,1.5e-10,0.7667,4629000000,0.001432,-11.16,1.771,8.469
2e-13,3.5e-06,6e-09,1.75e-10,0.9,5082000000,0.002381,-9.633,1.796,7.952
2e-13,3.5e-06,6e-09,1.75e-10,0.5,2700000000,0.0001058,-15.84,1.884,2.879
2e-13,3.5e-06,6e-09,1.75e-10,0.6333,4429000000,0.0005886,-12.0,1.769,6.966
2e-13,3.5e-06,6e-09,1.75e-10,0.7667,5024000000,0.001432,-9.589,1.771,7.764
2e-13,3.5e-06,6e-09,2e-10,0.9,5542000000,0.002381,-8.395,1.792,7.259
2e-13,3.5e-06,6e-09,2e-10,0.5,2808000000,0.0001058,-19.07,1.88,2.551
2e-13,3.5e-06,6e-09,2e-10,0.6333,4728000000,0.0005886,-10.47,1.769,6.39
2e-13,3.5e-06,6e-09,2e-10,0.7667,5444000000,0.001432,-8.404,1.772,7.104
2e-13,2.5e-06,5.2e-09,1e-10,0.9,4100000000,0.001699,-17.22,1.649,8.547
2e-13,2.5e-06,5.2e-09,1e-10,0.5,2580000000,7.55e-05,-9.239,1.726,2.364
2e-13,2.5e-06,5.2e-09,1e-10,0.6333,3689000000,0.00042,-15.91,1.63,7.33
2e-13,2.5e-06,5.2e-09,1e-10,0.7667,3980000000,0.001022,-15.8,1.645,8.436
2e-13,2.5e-06,5.2e-09,1.25e-10,0.9,4618000000,0.001699,-12.89,1.648,7.563
2e-13,2.5e-06,5.2e-09,1.25e-10,0.5,2731000000,7.55e-05,-10.64,1.725,1.933
2e-13,2.5e-06,5.2e-09,1.25e-10,0.6333,4056000000,0.00042,-14.36,1.631,6.517
2e-13,2.5e-06,5.2e-09,1.25e-10,0.7667,4440000000,0.001022,-13.0,1.643,7.496
2e-13,2.5e-06,5.2e-09,1.5e-10,0.9,5136000000,0.001699,-10.42,1.648,6.678
2e-13,2.5e-06,5.2e-09,1.5e-10,0.5,2885000000,7.55e-05,-11.91,1.726,1.517
2e-13,2.5e-06,5.2e-09,1.5e-10,0.6333,4389000000,0.00042,-12.31,1.632,5.807
2e-13,2.5e-06,5.2e-09,1.5e-10,0.7667,4923000000,0.001022,-10.75,1.639,6.639
2e-13,2.5e-06,5.2e-09,1.75e-10,0.9,5647000000,0.001699,-8.788,1.649,5.89
2e-13,2.5e-06,5.2e-09,1.75e-10,0.5,3039000000,7.55e-05,-12.94,1.728,1.114
